id,class,historical_wording,intended_purpose,dependent_fields,v2_preservation,v39a_evidence,likely_effect_if_removed
C11,ANTI_RUBBER_STAMP,Do not use SUPPORT merely because local momentum agrees with the bot when the entry is a late chase.,Check timing and exhaustion,15m/60m/240m momentum;range position;zones,NO,PARTIAL,May over-support mature moves if removed
C12,ENTRY_GEOMETRY,"Prefer REJECT when the bot direction is already stretched into a local 60m/240m extreme, the peak is weak or moderate, or a significant liquidity/market zone immediately opposes continuation.",Account for poor entry location and limited room,60m/240m extrema;peak strength;opposing zones,NO,PARTIAL,May underweight late entry; original wording can over-reject
C13,TIMEFRAME_WEIGHTING,"Prefer UNCLEAR when broad 1d/3d/7d context conflicts with local flow, data quality is degraded/recovered, or zone evidence is mixed enough that edge is not reliable.",Mark genuine conflict/quality uncertainty,broad_context;local_context;quality;zones,PARTIAL,PARTIAL,V2 lacks examples; original broad conflict preference can over-use UNCLEAR
C14,UNCERTAINTY_HANDLING,"If you still choose SUPPORT with multiple material risk_flags, lower confidence and explain why those risks are outweighed.",Force coherent confidence and reasons,risk_flags;confidence;summary_ua,NO,N/A,May permit high-confidence SUPPORT despite unresolved risks
C15,DECISION_CALIBRATION,"If direction conflicts with VWAP, rolling_vwap_approx, or orderflow/imbalance context, reflect it in reason_codes or risk_flags.",Do not hide contrary evidence,VWAP;rolling_vwap_approx;imbalance;reason_codes;risk_flags,NO,PARTIAL,Contrary evidence may disappear from rationale
C16,OUTPUT_FORMAT,"Allowed setup_class values: continuation_pressure, reversal_onset, reversal_confirmation, exhaustion, trap_false_break, absorption_like, honest_directional_flow, noisy_peak, unknown.",Bound setup taxonomy,setup_class,NO,N/A,Potential setup label drift; taxonomy may itself be obsolete
C17,DATA_CONTRACT,peak_ts_raw may be legacy feed local time. Do not use raw timestamps for filtering; use analysis_cutoff_ts.,Prevent time-zone misread,peak_ts_raw;analysis_cutoff_ts,PARTIAL,N/A,Input should remove raw local time; V2 relies on normalized cutoff
C18,DATA_CONTRACT,The LLM is advisory only and must not suggest changing live orders.,Keep assessment outside execution,orders,YES,N/A,V2 pre-entry boundary covers intent
C19,ANTI_HINDSIGHT,Judge only the trade signal quality at entry time.,Entry-only scope,analysis_cutoff_ts;src_evt,YES,N/A,V2 preserves and clarifies entry-only assessment
C20,DATA_CONTRACT,"You only see information available until analysis_cutoff_ts, which is normalized UTC.",Establish UTC cutoff,analysis_cutoff_ts,YES,YES,V2 uses decision_cutoff_utc
C21,DATA_CONTRACT,It is not a trading instruction and must not modify live orders.,Keep descriptive monitor separate from orders,market_monitor_snapshot,YES,N/A,V2 describes geometry as context only
C22,OUTPUT_FORMAT,"Allowed verdict values: SUPPORT, REJECT, UNCLEAR.",Bound verdict enum,verdict,YES,N/A,V2 output schema preserves enum
C23,OUTPUT_FORMAT,Evidence pack follows:,Introduce dynamic input,evidence_pack,YES,N/A,V2 renames to entry snapshot; wording obsolete
C24,ENTRY_GEOMETRY,the bot direction is already stretched into a local 60m/240m extreme,Inspect new-entry location,60m/240m high;low;close;range_position,NO,PARTIAL,Unaddressed chase risk; a standalone veto could over-reject
C25,DECISION_CALIBRATION,the peak is weak or moderate,Do not overtrust weak signal,src_evt.strength;peak percentile,NO,PARTIAL,May over-support weak peak; wording may over-reject if peak quality lacks provenance
C26,ENTRY_GEOMETRY,a significant liquidity/market zone immediately opposes continuation.,Assess nearest opposing obstacle,significant_market_zones;liquidity_zones;distance;target_room,NO,PARTIAL,Missing room check; zone quality/distance must be explicit
C27,TIMEFRAME_WEIGHTING,broad 1d/3d/7d context conflicts with local flow,Recognize multi-scale disagreement,broad_context;local_context,PARTIAL,PARTIAL,May miss conflict; automatic UNCLEAR would overweight broad context
C28,UNCERTAINTY_HANDLING,data quality is degraded/recovered,Represent input reliability,DataQuality;window completeness,PARTIAL,PARTIAL,May overstate confidence; automatic UNCLEAR could overreact
C29,UNCERTAINTY_HANDLING,zone evidence is mixed enough that edge is not reliable.,Represent contradictory zones,significant_market_zones;liquidity_zones;quality,PARTIAL,PARTIAL,May force verdict with incoherent zone evidence
